"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Paddy","Nandikotkur ,Andhra Pradesh","Sona","NR","1800.00","1800.00 / 1800.00"
"Carrot","Ramanagara ,Karnataka","Carrot","1 Tonnes","1400.00","1200.00 / 1600.00"
"Tomato","Haathras ,Uttar Pradesh","Deshi","2.5 Tonnes","750.00","700.00 / 900.00"
"Drumstick","Harippad ,Kerala","Other","0.57 Tonnes","10000.00","10000.00 / 11500.00"
"Turmeric","Erode ,Tamil Nadu","Bulb","63.21 Tonnes","7715.00","7485.00 / 7945.00"
"Cucumber","Banga ,Punjab","Other","0.8 Tonnes","2174.00","1500.00 / 2180.00"
"Carrot","Kathua ,Jammu and Kashmir","Other","3.4 Tonnes","1200.00","1100.00 / 1300.00"
"Carrot","Padra ,Gujarat","Other","0.9 Tonnes","1050.00","900.00 / 1200.00"
"Cabbage","Hasanpur ,Uttar Pradesh","Cabbage","0.03 Tonnes","920.00","900.00 / 940.00"
"Ash Gourd","Perambra ,Kerala","Other","0.2 Tonnes","2200.00","2100.00 / 2300.00"
"Guar","Udaipur(F&V) ,Rajasthan","Other","0.1 Tonnes","4000.00","4000.00 / 4000.00"
"Carrot","Kalanaur ,Punjab","Other","0.1 Tonnes","1250.00","1200.00 / 1300.00"
"Cauliflower","Gurgaon ,Haryana","Other","14.2 Tonnes","400.00","300.00 / 500.00"
"Potato","Boudh ,Odisha","Other","0.5 Tonnes","1400.00","1400.00 / 1600.00"
"Cotton","Jambusar(Kaavi) ,Gujarat","Other","1 Tonnes","4900.00","4600.00 / 5100.00"
"Bhindi","Aralamoodu ,Kerala","Bhindi","0.8 Tonnes","3000.00","3000.00 / 3000.00"
"Gur","Mihipurwa ,Uttar Pradesh","Yellow","40 Tonnes","2650.00","2600.00 / 2700.00"
"Potato","Haridwar Union ,Uttarakhand","Other","24.5 Tonnes","550.00","500.00 / 600.00"
"Onion","Safdarganj ,Uttar Pradesh","Red","0.6 Tonnes","3250.00","3200.00 / 3300.00"
"Tomato","Bariwala ,Punjab","Other","0.04 Tonnes","900.00","900.00 / 900.00"
"Papaya","Shahpur ,Uttar Pradesh","Papaya","0.8 Tonnes","550.00","540.00 / 560.00"
"Bitter Gourd","Udaipur(F&V) ,Rajasthan","Other","0.5 Tonnes","3000.00","2500.00 / 3500.00"
"Pomegranate","Shadabad ,Uttar Pradesh","Pomogranate","0.5 Tonnes","4950.00","4850.00 / 5050.00"
"Carrot","Haridwar Union ,Uttarakhand","Other","1.8 Tonnes","900.00","800.00 / 1000.00"
